scenario,expected_fail_lines,probability
S1,0,0.271333
S2,1,0.244667
S3,2,0.185667
S4,3,0.126333
S5,4,0.076667
S6,5,0.046
S7,6,0.026333
S8,7,0.011
S9,8,0.008
S10,9,0.003
S11,10,0.000667
S12,12,0.000333
