"timestamp","line_id","risk_prob"
"2024-09-01 17:00:00","L4","0.2601020313428554"
"2024-09-01 17:00:00","L3","0.16044611577647358"
"2024-09-01 17:00:00","L8","0.15875581759150106"
"2024-09-01 17:00:00","L12","0.1572383462266524"
"2024-09-01 17:00:00","L7","0.15472288817884772"
"2024-09-01 17:00:00","L13","0.15365836914411263"
"2024-09-01 17:00:00","L2","0.14986112383127237"
"2024-09-01 17:00:00","L6","0.14851634545836495"
"2024-09-01 17:00:00","L5","0.14788130269075955"
"2024-09-01 17:00:00","L1","0.14458006292346545"
"2024-09-01 17:00:00","L9","0.1432192908674123"
"2024-09-01 17:00:00","L0","0.1296569889062673"
"2024-09-01 17:00:00","L14","0.0831528183743541"
"2024-09-01 17:00:00","L11","0.0684894141111836"
"2024-09-01 17:00:00","L10","0.050837278953002586"
