"scenario","scenario_id","timestamp","failed_lines","outage_line_count","disconnected_load_count","probability","method"
"S230","229","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S231","230","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S232","231","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S233","232","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S234","233","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S235","234","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S236","235","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S237","236","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S238","237","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S239","238","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S240","239","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S241","240","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S242","241","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S243","242","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S244","243","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S245","244","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S246","245","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S247","246","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S248","247","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S249","248","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S250","249","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S251","250","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S252","251","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S253","252","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S254","253","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S255","254","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S256","255","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
