scenario,expected_fail_lines,probability
S1,1,0.238667
S2,0,0.228
S3,2,0.184333
S4,3,0.143333
S5,4,0.090667
S6,5,0.053333
S7,6,0.034333
S8,7,0.016
S9,8,0.006333
S10,9,0.004
S11,10,0.000667
S12,12,0.000333
