scenario_id,scenario_cost,is_worst,total_ls
0,58895.689450314785,1,38.740572668778384
1,54533.827031461355,0,36.88552369730171
2,58585.387082520625,0,38.61128001553082
3,43825.344479827654,0,30.08591593793826
4,50531.237636900936,0,35.03047472582502
