run_name,run_dir,status,return_code,skipped,metapath_topk,hidden_dim,epochs,lr,weight_decay,train_ratio,seed,train_model_variant,train_best_val_mse,train_val_mae,metapath_gate_mean,metapath_val_mae,baseline_val_mae,metapath_horizon_mae,baseline_horizon_mae,metapath_best_val_mse,baseline_best_val_mse,delta_val_mae,delta_horizon_mae,delta_best_val_mse
r001_k3_h80_ep700_lr0.006_wd0.0001_tr0.700_s42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r001_k3_h80_ep700_lr0.006_wd0.0001_tr0.700_s42,ok,0,False,3,80,700,0.006,0.0001,0.7,42,metapath_v1,0.19275237619876862,0.38823985876459066,0.009087788810979368,0.3882398587645906,0.3940204310417175,0.3708393847611215,0.3722096091508865,0.1927523761987686,0.2001458704471588,0.005780572277126916,0.001370224389765029,0.0073934942483902255
r002_k3_h80_ep700_lr0.006_wd0.0001_tr0.700_s43,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r002_k3_h80_ep700_lr0.006_wd0.0001_tr0.700_s43,ok,0,False,3,80,700,0.006,0.0001,0.7,43,metapath_v1,0.199380025267601,0.39370793798656173,0.999999480942885,0.3937079379865617,0.3988079862883597,0.3186228852636284,0.3759392937686708,0.199380025267601,0.1990545839071273,0.005100048301797999,0.05731640850504238,-0.0003254413604737161
r003_k3_h80_ep700_lr0.006_wd0.0001_tr0.700_s44,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r003_k3_h80_ep700_lr0.006_wd0.0001_tr0.700_s44,ok,0,False,3,80,700,0.006,0.0001,0.7,44,metapath_v1,0.1957826465368271,0.3916486791047183,0.06520031113177538,0.3916486791047183,0.4009984975150137,0.3719023250540098,0.3673263937234878,0.1957826465368271,0.1938472390174865,0.009349818410295418,-0.004575931330521976,-0.0019354075193405984
r004_k3_h80_ep700_lr0.006_wd0.0001_tr0.700_s45,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r004_k3_h80_ep700_lr0.006_wd0.0001_tr0.700_s45,ok,0,False,3,80,700,0.006,0.0001,0.7,45,metapath_v1,0.19872452318668365,0.3823442606131236,0.04312777829666933,0.3823442606131236,0.3901692708694573,0.3657681581046846,0.3752713995509677,0.1987245231866836,0.1981976628303527,0.007825010256333698,0.009503241446283117,-0.0005268603563308993
r005_k3_h80_ep700_lr0.006_wd0.0001_tr0.700_s46,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r005_k3_h80_ep700_lr0.006_wd0.0001_tr0.700_s46,ok,0,False,3,80,700,0.006,0.0001,0.7,46,metapath_v1,0.1976926326751709,0.3845498509118051,0.053266528993844986,0.3845498509118051,0.3780912954518289,0.3691478984885745,0.361903725763162,0.1976926326751709,0.1996264457702636,-0.006458555459976201,-0.007244172725412501,0.0019338130950926902
r006_k4_h80_ep700_lr0.006_wd0.0001_tr0.700_s42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r006_k4_h80_ep700_lr0.006_wd0.0001_tr0.700_s42,ok,0,False,4,80,700,0.006,0.0001,0.7,42,metapath_v1,0.20398598909378052,0.384129480286078,0.0889509654759119,0.384129480286078,0.3940204310417175,0.3214730347692967,0.3722096091508865,0.2039859890937805,0.2001458704471588,0.009890950755639505,0.05073657438158985,-0.0038401186466216763
r007_k4_h80_ep700_lr0.006_wd0.0001_tr0.700_s43,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r007_k4_h80_ep700_lr0.006_wd0.0001_tr0.700_s43,ok,0,False,4,80,700,0.006,0.0001,0.7,43,metapath_v1,0.18778906762599945,0.36158370754032426,0.9999984718031354,0.3615837075403242,0.3988079862883597,0.275725589485632,0.3759392937686708,0.1877890676259994,0.1990545839071273,0.037224278748035466,0.10021370428303877,0.011265516281127902
r008_k4_h80_ep700_lr0.006_wd0.0001_tr0.700_s44,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r008_k4_h80_ep700_lr0.006_wd0.0001_tr0.700_s44,ok,0,False,4,80,700,0.006,0.0001,0.7,44,metapath_v1,0.19973412156105042,0.3697415356202559,0.026791133038285706,0.3697415356202559,0.4009984975150137,0.3523746099736955,0.3673263937234878,0.1997341215610504,0.1938472390174865,0.031256961894757795,0.01495178374979228,-0.005886882543563898
r009_k4_h80_ep700_lr0.006_wd0.0001_tr0.700_s45,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r009_k4_h80_ep700_lr0.006_wd0.0001_tr0.700_s45,ok,0,False,4,80,700,0.006,0.0001,0.7,45,metapath_v1,0.1987200379371643,0.38235634153539483,0.04326577691568269,0.3823563415353948,0.3901692708694573,0.3657827744550175,0.3752713995509677,0.1987200379371643,0.1981976628303527,0.007812929334062524,0.00948862509595022,-0.0005223751068116067
r010_k4_h80_ep700_lr0.006_wd0.0001_tr0.700_s46,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r010_k4_h80_ep700_lr0.006_wd0.0001_tr0.700_s46,ok,0,False,4,80,700,0.006,0.0001,0.7,46,metapath_v1,0.1959252804517746,0.39134591135111724,0.008095223631244153,0.3913459113511172,0.3780912954518289,0.3705492497815026,0.361903725763162,0.1959252804517746,0.1996264457702636,-0.01325461589928828,-0.008645524018340622,0.0037011653184889914
r011_k5_h80_ep700_lr0.006_wd0.0001_tr0.700_s42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r011_k5_h80_ep700_lr0.006_wd0.0001_tr0.700_s42,ok,0,False,5,80,700,0.006,0.0001,0.7,42,metapath_v1,0.20572830736637115,0.3612183523900581,0.05429428174263901,0.3612183523900581,0.3940204310417175,0.3419446808099746,0.3722096091508865,0.2057283073663711,0.2001458704471588,0.032802078651659405,0.030264928340911934,-0.005582436919212286
r012_k5_h80_ep700_lr0.006_wd0.0001_tr0.700_s43,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r012_k5_h80_ep700_lr0.006_wd0.0001_tr0.700_s43,ok,0,False,5,80,700,0.006,0.0001,0.7,43,metapath_v1,0.1841522604227066,0.33766806297229995,0.9999739444918103,0.3376680629722999,0.3988079862883597,0.2896415014968564,0.3759392937686708,0.1841522604227066,0.1990545839071273,0.061139923316059774,0.08629779227181439,0.014902323484420693
r013_k5_h80_ep700_lr0.006_wd0.0001_tr0.700_s44,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r013_k5_h80_ep700_lr0.006_wd0.0001_tr0.700_s44,ok,0,False,5,80,700,0.006,0.0001,0.7,44,metapath_v1,0.1938708871603012,0.3915567472486785,0.006648840867759039,0.3915567472486785,0.4009984975150137,0.3736437246534559,0.3673263937234878,0.1938708871603012,0.1938472390174865,0.009441750266335203,-0.006317330929968112,-2.3648142814719497e-05
r014_k5_h80_ep700_lr0.006_wd0.0001_tr0.700_s45,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r014_k5_h80_ep700_lr0.006_wd0.0001_tr0.700_s45,ok,0,False,5,80,700,0.006,0.0001,0.7,45,metapath_v1,0.19872702658176422,0.3823903224684975,0.043296178492407,0.3823903224684975,0.3901692708694573,0.3658095716436704,0.3752713995509677,0.1987270265817642,0.1981976628303527,0.007778948400959773,0.009461827907297327,-0.0005293637514114935
r015_k5_h80_ep700_lr0.006_wd0.0001_tr0.700_s46,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\g60_n75_stageB_20260324_184320\r015_k5_h80_ep700_lr0.006_wd0.0001_tr0.700_s46,ok,0,False,5,80,700,0.006,0.0001,0.7,46,metapath_v1,0.1976974606513977,0.38455826983307345,0.053266565004984535,0.3845582698330734,0.3780912954518289,0.3691512439317173,0.361903725763162,0.1976974606513977,0.1996264457702636,-0.006466974381244495,-0.007247518168555289,0.0019289851188658835
