,val_mae,val_mae,horizon_mae,horizon_mae,best_val_mse,best_val_mse,high_risk_mae,high_risk_mae,precision_at_5,precision_at_5,precision_at_10,precision_at_10,ndcg_at_10,ndcg_at_10,spearman_corr,spearman_corr
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
variant,,,,,,,,,,,,,,,,
metapath_local_beta0,0.01253773274322006,0.002875295934058757,0.00641132578697626,0.004993548299898202,0.0011071462184190199,0.0007779338656241121,0.06216185837190724,0.030202918800725977,1.0,0.0,0.72,0.044721359549995836,0.806196608706745,0.0341050362295086,0.5678705724972817,0.08824896319181008
metapath_local_beta0p01,0.01265676367421394,0.0029207403790044847,0.00643625795209872,0.004966930649856797,0.0010716026066802,0.0007180420027994817,0.06100383887747176,0.028296174631346645,1.0,0.0,0.72,0.044721359549995836,0.8068320084032227,0.033839875123467575,0.5677793395125776,0.08672805327641694
mlp,0.02040409446077156,0.00684112193975927,0.0136941284961282,0.00707067813734061,0.00143849055748428,0.0003223453357315645,0.07034028985313168,0.009238125598029471,1.0,0.0,0.7,0.0,0.7920040066116487,0.001442391893132329,0.551663888529428,0.021524269400180852
